item_code,item_category,item_name,price,cost
PRD0086,Eyes,Iridescent Eyeshadow Topper,640,192
PRD0087,Eyes,Magnetic Eyelashes,960,288
PRD0088,Eyes,Magnetic Eyeliner,800,240
PRD0089,Eyes,Brow Lifting Kit,1280,384
PRD0090,Eyes,Tinted Brow Gel,704,211.2
PRD0091,Lips,Velvet Matte Lipstick,704,211.2
PRD0092,Lips,Satin Finish Lipstick,704,211.2
PRD0093,Lips,High Shine Lip Gloss,576,172.8
PRD0094,Lips,Plumping Lip Gloss,640,192
PRD0095,Lips,Tinted Lip Balm,480,144
PRD0096,Lips,Hydrating Lip Oil,576,172.8
PRD0097,Lips,Long Lasting Lip Stain,800,240
PRD0098,Lips,Liquid Matte Lipstick,768,230.4
PRD0099,Lips,Metallic Lip Cream,640,192
PRD0100,Lips,Lip Liner Pencil,384,115.2
PRD0101,Lips,Lip Primer,512,153.6
PRD0102,Lips,Exfoliating Lip Scrub,480,144
PRD0103,Lips,Nourishing Lip Mask,576,172.8
PRD0104,Lips,Lip Brush,320,96
PRD0105,Lips,Lip Plumper Device,1120,336
PRD0106,Lips,Lip Stain Marker,640,192
PRD0107,Lips,Ombre Lip Kit,960,288
PRD0108,Lips,Clear Lip Gloss,480,144
PRD0109,Lips,Lip Repair Balm,384,115.2
PRD0110,Lips,Sun Protective Lip Balm SPF 15,512,153.6
PRD0111,Nails,Scarlet Red Nail Polish,320,96
PRD0112,Nails,Midnight Blue Nail Lacquer,320,96
PRD0113,Nails,Rose Gold Glitter Polish,384,115.2
PRD0114,Nails,Matte Top Coat,320,96
PRD0115,Nails,Glossy Top Coat,320,96
PRD0116,Nails,Base Coat,320,96
PRD0117,Nails,Quick Dry Nail Polish,352,105.6
PRD0118,Nails,Nail Polish Remover,256,76.8
PRD0119,Nails,Cuticle Oil,384,115.2
PRD0120,Nails,Hand and Nail Cream,480,144
PRD0121,Nails,Nail File,96,28.8
PRD0122,Nails,Nail Buffer,160,48
PRD0123,Nails,Cuticle Pusher,192,57.6
PRD0124,Nails,Nail Clippers,256,76.8
PRD0125,Nails,Nail Art Brushes,480,144
PRD0126,Nails,Nail Stickers,224,67.2
PRD0127,Nails,Nail Gems,288,86.4
PRD0128,Nails,French Manicure Kit,800,240
PRD0129,Nails,Gel Nail Polish,576,172.8
PRD0130,Nails,LED Nail Lamp,1280,384
PRD0131,Hair,Hydrating Shampoo,640,192
PRD0132,Hair,Volumizing Conditioner,640,192
PRD0133,Hair,Repair & Restore Hair Mask,896,268.8
PRD0134,Hair,Leave-In Conditioner Spray,704,211.2
PRD0135,Hair,Hair Serum for Shine,800,240
PRD0136,Hair,Heat Protectant Spray,640,192
PRD0137,Hair,Texturizing Hair Spray,704,211.2
PRD0138,Hair,Strong Hold Hairspray,640,192
PRD0139,Hair,Dry Shampoo,576,172.8
PRD0140,Hair,Hair Oil Treatment,960,288
PRD0141,Hair,Scalp Exfoliating Scrub,800,240
PRD0142,Hair,Anti-Frizz Hair Cream,704,211.2
PRD0143,Hair,Hair Styling Wax,480,144
PRD0144,Hair,Hair Clay,512,153.6
PRD0145,Hair,Hair Pomade,544,163.2
PRD0146,Hair,Hair Gel,448,134.4
PRD0147,Hair,Hair Mousse,480,144
PRD0148,Hair,Hair Comb,160,48
PRD0149,Hair,Hair Brush,480,144
PRD0150,Hair,Hair Dryer,1920,576
PRD0151,Hair,Straightening Iron,1760,528
PRD0152,Hair,Curling Iron,1600,480
PRD0153,Hair,Hair Extensions,3200,960
PRD0154,Hair,Hair Clips,320,96
PRD0155,Hair,Hair Ties,160,48
PRD0156,Hair,Headbands,384,115.2
PRD0157,Hair,Hair Color,800,240
PRD0158,Hair,Root Touch-Up Spray,640,192
PRD0159,Hair,Scalp Massager,896,268.8
PRD0160,Hair,Silk Pillowcase,1120,336
PRD0161,Tools & Accessories,Makeup Brush Set,1280,384
PRD0162,Tools & Accessories,Blending Sponge Set,640,192
PRD0163,Tools & Accessories,Makeup Mirror with Lights,2240,672
PRD0164,Tools & Accessories,Portable Makeup Mirror,480,144
PRD0165,Tools & Accessories,Makeup Organizer,960,288
PRD0166,Tools & Accessories,Makeup Bag,800,240
PRD0167,Tools & Accessories,Travel Makeup Case,1440,432
PRD0168,Tools & Accessories,Eyelash Applicator Tool,320,96
PRD0169,Tools & Accessories,Brush Cleaning Mat,384,115.2
PRD0170,Tools & Accessories,Brush Drying Rack,640,192
PRD0171,Tools & Accessories,Sharpeners,160,48
PRD0172,Tools & Accessories,Tweezers Set,576,172.8
PRD0173,Tools & Accessories,Scissors,320,96
PRD0174,Tools & Accessories,Cotton Pads,224,67.2
PRD0175,Tools & Accessories,Cotton Swabs,160,48
PRD0176,Tools & Accessories,Empty Makeup Palette,480,144
PRD0177,Tools & Accessories,Spray Bottle,256,76.8
PRD0178,Tools & Accessories,Mixing Palette,320,96
PRD0179,Tools & Accessories,Spatulas,192,57.6
PRD0180,Tools & Accessories,Headband for Makeup Application,256,76.8
PRD0181,Body,Nourishing Body Lotion,640,192
PRD0182,Body,Hydrating Body Wash,576,172.8
PRD0183,Body,Exfoliating Body Scrub,704,211.2
PRD0184,Body,Moisturizing Body Oil,800,240
PRD0185,Body,Hand Cream,384,115.2
PRD0186,Body,Foot Cream,480,144
PRD0187,Body,Sunscreen Body Lotion SPF 50,896,268.8
PRD0188,Body,After Sun Soothing Gel,576,172.8
PRD0189,Body,Self-Tanning Lotion,960,288
PRD0190,Body,Body Shimmer Lotion,704,211.2
PRD0191,Body,Bath Bomb,256,76.8
PRD0192,Body,Bubble Bath,480,144
PRD0193,Body,Body Brush,576,172.8
PRD0194,Body,Pumice Stone,160,48
PRD0195,Body,Body Wrap Kit,1120,336
PRD0196,Body,Massage Oil,800,240
PRD0197,Body,Deodorant,320,96
PRD0198,Body,Body Powder,384,115.2
PRD0199,Body,Insect Repellent Spray,480,144
PRD0200,Body,Stretch Mark Cream,960,288
PRD0201,Men's,Men's Daily Face Wash,576,172.8
PRD0202,Men's,Men's Moisturizing Cream,704,211.2
PRD0203,Men's,Men's Aftershave Balm,640,192
PRD0204,Men's,Men's Shaving Cream,480,144
PRD0205,Men's,Men's Beard Oil,800,240
PRD0206,Men's,Men's Beard Balm,704,211.2
PRD0207,Men's,Men's Hair Styling Gel,448,134.4
PRD0208,Men's,Men's Hair Wax,512,153.6
PRD0209,Men's,Men's Body Wash,576,172.8
PRD0210,Men's,Men's Deodorant Stick,320,96
PRD0211,Men's,Men's Face Scrub,640,192
PRD0212,Men's,Men's Anti-Aging Serum,1440,432
PRD0213,Men's,Men's Under Eye Cream,960,288
PRD0214,Men's,Men's Sunscreen SPF 30,800,240
PRD0215,Men's,Men's Lip Balm,320,96
PRD0216,Men's,Men's Hair Clay,544,163.2
PRD0217,Men's,Men's Shampoo,576,172.8
PRD0218,Men's,Men's Conditioner,576,172.8
PRD0219,Men's,Men's Grooming Kit,1920,576
PRD0220,Men's,Men's Cologne,1280,0
PRD0221,Organic/Natural,Botanical Bliss Face Serum,1920,576
PRD0222,Organic/Natural,Earth Kiss Cleansing Oil,1120,336
PRD0223,Organic/Natural,Pure Petal Toner,896,268.8
PRD0224,Organic/Natural,Organic Glow Moisturizer,1344,403.2
PRD0225,Organic/Natural,Natural Mineral Foundation,1280,384
PRD0226,Organic/Natural,Herbal Infusion Hair Mask,1024,307.2
PRD0227,Organic/Natural,Wildflower Body Balm,800,240
PRD0228,Organic/Natural,Sustainable Bamboo Brush Set,1600,480
PRD0229,Organic/Natural,Cruelty-Free Lip Tint,640,192
PRD0230,Organic/Natural,Eco-Friendly Nail Polish Remover,480,144
PRD0231,Face,Radiant Finish Cushion Foundation,1440,432
PRD0232,Face,Invisible Pore Minimizer,960,288
PRD0233,Eyes,Shimmering Galaxy Eyeshadow Palette,1344,403.2
PRD0234,Eyes,Precision Liquid Brow Liner,640,192
PRD0235,Lips,Hydra-Plump Lip Lacquer,896,268.8
PRD0236,Lips,Long-Wear Cream Lipstick,832,249.6
PRD0237,Nails,Holographic Nail Polish,448,134.4
PRD0238,Nails,Nail Strengthening Treatment,640,192
PRD0239,Hair,Nourishing Scalp Oil,1120,336
PRD0240,Hair,Volumizing Dry Texture Spray,800,240
PRD0241,Tools & Accessories,Professional Makeup Sponge Set,960,288
PRD0242,Tools & Accessories,Rotating Makeup Organizer,1760,528
PRD0243,Body,Silkening Body Soufflé,960,288
PRD0244,Body,Invigorating Shower Gel,576,172.8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
